director_name,,duration,gross,title_year,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
Adam McKay,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adam McKay,mean,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam McKay,min,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam McKay,25%,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam McKay,50%,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam McKay,75%,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam McKay,max,143.0,2175312.0,2013.0,50000000.0,6.0,41000.0,-47824688.0,-7591220.0
Adam Shankman,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Adam Shankman,mean,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Adam Shankman,min,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Adam Shankman,25%,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Adam Shankman,50%,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Adam Shankman,75%,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Adam Shankman,max,136.0,38509342.0,2012.0,75000000.0,6.0,33000.0,-36490658.0,-6184857.0
Angelina Jolie Pitt,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Angelina Jolie Pitt,mean,137.0,115603980.0,2014.0,65000000.0,4.0,35000.0,50603980.0,24599157.0
Angelina Jolie Pitt,std,0.0,0.0,0.0,0.0,4.0,0.0,0.0,24848901.0
Angelina Jolie Pitt,min,137.0,115603980.0,2014.0,65000000.0,1.0,35000.0,50603980.0,7028331.0
Angelina Jolie Pitt,25%,137.0,115603980.0,2014.0,65000000.0,3.0,35000.0,50603980.0,15813744.0
Angelina Jolie Pitt,50%,137.0,115603980.0,2014.0,65000000.0,4.0,35000.0,50603980.0,24599157.0
Angelina Jolie Pitt,75%,137.0,115603980.0,2014.0,65000000.0,6.0,35000.0,50603980.0,33384570.0
Angelina Jolie Pitt,max,137.0,115603980.0,2014.0,65000000.0,7.0,35000.0,50603980.0,42169983.0
Anthony Russo,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Anthony Russo,mean,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Anthony Russo,min,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Anthony Russo,25%,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Anthony Russo,50%,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Anthony Russo,75%,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Anthony Russo,max,136.0,259746958.0,2014.0,170000000.0,8.0,55000.0,89746958.0,11506020.0
Baz Luhrmann,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Baz Luhrmann,mean,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Baz Luhrmann,min,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Baz Luhrmann,25%,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Baz Luhrmann,50%,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Baz Luhrmann,75%,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Baz Luhrmann,max,143.0,144812796.0,2013.0,105000000.0,7.0,115000.0,39812796.0,5453808.0
Bryan Singer,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Bryan Singer,mean,146.0,194450036.0,2015.0,189000000.0,8.0,68000.0,5450036.0,543323.0
Bryan Singer,std,4.0,55811867.0,1.0,15556349.0,0.0,19799.0,40255518.0,5227005.0
Bryan Singer,min,144.0,154985087.0,2014.0,178000000.0,7.0,54000.0,-23014913.0,-3152728.0
Bryan Singer,25%,145.0,174717562.0,2014.0,183500000.0,7.0,61000.0,-8782438.0,-1304703.0
Bryan Singer,50%,146.0,194450036.0,2015.0,189000000.0,8.0,68000.0,5450036.0,543323.0
Bryan Singer,75%,148.0,214182511.0,2016.0,194500000.0,8.0,75000.0,19682511.0,2391348.0
Bryan Singer,max,149.0,233914986.0,2016.0,200000000.0,8.0,82000.0,33914986.0,4239373.0
Christopher Nolan,count,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Christopher Nolan,mean,160.0,309563644.0,2012.0,191666667.0,9.0,229333.0,117896977.0,13682518.0
Christopher Nolan,std,11.0,130899650.0,2.0,50579970.0,0.0,103780.0,88486626.0,10387227.0
Christopher Nolan,min,148.0,187991439.0,2010.0,160000000.0,8.0,164000.0,22991439.0,2673423.0
Christopher Nolan,25%,156.0,240280145.0,2011.0,162500000.0,9.0,169500.0,77780145.0,8869033.0
Christopher Nolan,50%,164.0,292568851.0,2012.0,165000000.0,9.0,175000.0,132568851.0,15064642.0
Christopher Nolan,75%,166.0,370349746.0,2013.0,207500000.0,9.0,262000.0,165349746.0,19187065.0
Christopher Nolan,max,169.0,448130642.0,2014.0,250000000.0,9.0,349000.0,198130642.0,23309487.0
Christopher Spencer,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Christopher Spencer,mean,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Christopher Spencer,min,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Christopher Spencer,25%,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Christopher Spencer,50%,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Christopher Spencer,75%,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Christopher Spencer,max,170.0,59696176.0,2014.0,22000000.0,6.0,15000.0,37696176.0,6731460.0
Clint Eastwood,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Clint Eastwood,mean,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Clint Eastwood,min,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Clint Eastwood,25%,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Clint Eastwood,50%,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Clint Eastwood,75%,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Clint Eastwood,max,5.0,47034272.0,2014.0,40000000.0,7.0,16000.0,7034272.0,1019460.0
Daniel Espinosa,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Daniel Espinosa,mean,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Daniel Espinosa,min,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Daniel Espinosa,25%,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Daniel Espinosa,50%,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Daniel Espinosa,75%,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Daniel Espinosa,max,137.0,1206135.0,205.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
Darren Aronofsky,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Darren Aronofsky,mean,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
Darren Aronofsky,min,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
Darren Aronofsky,25%,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
Darren Aronofsky,50%,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
Darren Aronofsky,75%,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
Darren Aronofsky,max,138.0,101160529.0,2014.0,125000000.0,6.0,71000.0,-23839471.0,-4110254.0
David Ayer,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
David Ayer,mean,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Ayer,min,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Ayer,25%,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Ayer,50%,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Ayer,75%,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Ayer,max,134.0,85707116.0,2014.0,68000000.0,8.0,82000.0,17707116.0,2329884.0
David Dobkin,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
David Dobkin,mean,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Dobkin,min,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Dobkin,25%,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Dobkin,50%,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Dobkin,75%,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Dobkin,max,141.0,47105085.0,2014.0,50000000.0,7.0,47000.0,-2894915.0,-391205.0
David Fincher,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
David Fincher,mean,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
David Fincher,min,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
David Fincher,25%,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
David Fincher,50%,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
David Fincher,75%,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
David Fincher,max,149.0,167735396.0,2014.0,61000000.0,8.0,146000.0,106735396.0,13177209.0
Denis Villeneuve,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Denis Villeneuve,mean,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Denis Villeneuve,min,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Denis Villeneuve,25%,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Denis Villeneuve,50%,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Denis Villeneuve,75%,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Denis Villeneuve,max,153.0,60962878.0,2013.0,46000000.0,8.0,86000.0,14962878.0,1847269.0
Derek Cianfrance,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Derek Cianfrance,mean,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Derek Cianfrance,min,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Derek Cianfrance,25%,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Derek Cianfrance,50%,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Derek Cianfrance,75%,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Derek Cianfrance,max,140.0,21383298.0,2012.0,15000000.0,7.0,47000.0,6383298.0,874424.0
Edward Hall,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Edward Hall,mean,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
Edward Hall,min,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
Edward Hall,25%,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
Edward Hall,50%,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
Edward Hall,75%,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
Edward Hall,max,180.0,0.0,2012.0,0.0,7.0,434.0,0.0,0.0
F. Gary Gray,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
F. Gary Gray,mean,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
F. Gary Gray,min,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
F. Gary Gray,25%,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
F. Gary Gray,50%,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
F. Gary Gray,75%,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
F. Gary Gray,max,167.0,161029270.0,2015.0,28000000.0,8.0,76000.0,133029270.0,16839148.0
Francis Lawrence,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Francis Lawrence,mean,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Francis Lawrence,min,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Francis Lawrence,25%,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Francis Lawrence,50%,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Francis Lawrence,75%,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Francis Lawrence,max,146.0,424645577.0,2013.0,130000000.0,8.0,82000.0,294645577.0,38769155.0
Gary Ross,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gary Ross,mean,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gary Ross,min,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gary Ross,25%,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gary Ross,50%,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gary Ross,75%,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gary Ross,max,139.0,20389967.0,2016.0,50000000.0,7.0,10000.0,-29610033.0,-4419408.0
Gavin O'Connor,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gavin O'Connor,mean,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gavin O'Connor,min,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gavin O'Connor,25%,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gavin O'Connor,50%,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gavin O'Connor,75%,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gavin O'Connor,max,140.0,13651662.0,2011.0,25000000.0,8.0,77000.0,-11348338.0,-1383944.0
Gnana Rajasekaran,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gnana Rajasekaran,mean,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gnana Rajasekaran,min,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gnana Rajasekaran,25%,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gnana Rajasekaran,50%,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gnana Rajasekaran,75%,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gnana Rajasekaran,max,153.0,0.0,2014.0,0.0,7.0,58.0,0.0,0.0
Gore Verbinski,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Gore Verbinski,mean,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Gore Verbinski,min,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Gore Verbinski,25%,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Gore Verbinski,50%,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Gore Verbinski,75%,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Gore Verbinski,max,650.0,89289910.0,2013.0,215000000.0,6.0,48000.0,-125710090.0,-19340014.0
Guillaume Canet,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Guillaume Canet,mean,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
Guillaume Canet,min,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
Guillaume Canet,25%,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
Guillaume Canet,50%,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
Guillaume Canet,75%,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
Guillaume Canet,max,144.0,41229.0,2013.0,25500000.0,6.0,0.0,-25458771.0,-3916734.0
James Mangold,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
James Mangold,mean,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Mangold,min,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Mangold,25%,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Mangold,50%,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Mangold,75%,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Mangold,max,138.0,132550960.0,2013.0,120000000.0,7.0,68000.0,12550960.0,1873278.0
James Wan,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
James Wan,mean,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
James Wan,min,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
James Wan,25%,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
James Wan,50%,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
James Wan,75%,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
James Wan,max,140.0,350034110.0,2015.0,190000000.0,7.0,94000.0,160034110.0,22226960.0
Jay Oliva,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Jay Oliva,mean,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Jay Oliva,min,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Jay Oliva,25%,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Jay Oliva,50%,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Jay Oliva,75%,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Jay Oliva,max,148.0,0.0,2013.0,3500000.0,8.0,5000.0,-3500000.0,-416667.0
Joss Whedon,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Joss Whedon,mean,157.0,541135573.0,2014.0,235000000.0,8.0,120500.0,306135573.0,38826572.0
Joss Whedon,std,23.0,116169122.0,2.0,21213203.0,0.0,3536.0,137382326.0,15501232.0
Joss Whedon,min,141.0,458991599.0,2012.0,220000000.0,8.0,118000.0,208991599.0,27865547.0
Joss Whedon,25%,149.0,500063586.0,2013.0,227500000.0,8.0,119250.0,257563586.0,33346059.0
Joss Whedon,50%,157.0,541135573.0,2014.0,235000000.0,8.0,120500.0,306135573.0,38826572.0
Joss Whedon,75%,165.0,582207560.0,2014.0,242500000.0,8.0,121750.0,354707560.0,44307085.0
Joss Whedon,max,173.0,623279547.0,2015.0,250000000.0,8.0,123000.0,403279547.0,49787598.0
Justin Chadwick,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Justin Chadwick,mean,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,min,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,25%,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,50%,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,75%,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Justin Chadwick,max,141.0,8324748.0,2013.0,35000000.0,7.0,13000.0,-26675252.0,-3757078.0
Kathryn Bigelow,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kathryn Bigelow,mean,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,min,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,25%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,50%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,75%,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kathryn Bigelow,max,157.0,95720716.0,2012.0,40000000.0,7.0,39000.0,55720716.0,7529826.0
Kenneth Lonergan,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Kenneth Lonergan,mean,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,min,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,25%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,50%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,75%,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Kenneth Lonergan,max,186.0,46495.0,2011.0,14000000.0,6.0,0.0,-13953505.0,-2146693.0
Marc Webb,count,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Marc Webb,mean,148.0,232442298.0,2013.0,215000000.0,7.0,48500.0,17442298.0,2500885.0
Marc Webb,std,8.0,41844267.0,1.0,21213203.0,0.0,10607.0,20631064.0,2934386.0
Marc Webb,min,142.0,202853933.0,2012.0,200000000.0,7.0,41000.0,2853933.0,425960.0
Marc Webb,25%,145.0,217648116.0,2012.0,207500000.0,7.0,44750.0,10148116.0,1463422.0
Marc Webb,50%,148.0,232442298.0,2013.0,215000000.0,7.0,48500.0,17442298.0,2500885.0
