period,asset_cashflow,interest_payment,advance_maintenance_cashflow,operating_net_income,debt_payment,net_cashflow,outstanding_equity,outstanding_asset_balance,outstanding_debt
0,0.0,0.0,250000.0,250000.0,0.0,250000.0,250000.0,1000000.0,750000.0
1,57163.58335974055,5000.0,373830.25002640736,52163.58335974055,0.0,425993.8333861479,675993.8333861479,1959503.083306926,1750000.0
2,113517.22838561962,11666.666666666668,788022.4270235784,101850.56171895294,0.0,889872.9887425314,1565866.8221286791,2878644.2396430885,2750000.0
3,169063.63487208344,18333.333333333336,0.0,150730.3015387501,0.0,150730.3015387501,1716597.1236674292,3757558.0087650567,3750000.0
4,223805.49361426334,25000.0,1736954.8513697896,198805.49361426334,0.0,1935760.344984053,3652357.468651482,4596378.481963544,4750000.0
5,277745.4864379737,31666.666666666668,0.0,246078.81977130703,0.0,246078.81977130703,3898436.288422789,5395239.3035582965,5750000.0
6,322897.67801366176,38333.333333333336,0.0,284564.34468032845,0.0,284564.34468032845,4183000.6331031173,6146285.064172044,6750000.0
7,367571.71897953976,45000.0,0.0,322571.71897953976,0.0,322571.71897953976,4505572.352082657,6850153.297951202,7750000.0
8,411773.9846770719,51666.66666666667,0.0,360107.31801040523,0.0,360107.31801040523,4865679.670093062,7507473.038586898,8750000.0
9,455510.76544316934,58333.333333333336,4881135.067345624,397177.432109836,0.0,5278312.499455459,10143992.169548523,8118864.932654376,9750000.0
10,498788.2677435847,65000.00000000001,0.0,433788.2677435847,0.0,433788.2677435847,10577780.437292106,8684941.351441214,10750000.0
11,541612.6152911937,71666.66666666667,0.0,469945.948624527,0.0,469945.948624527,11047726.385916634,9206306.501284488,11750000.0
12,583989.850149367,78333.33333333334,0.0,505656.51681603363,11047726.385916634,505656.51681603363,505656.51681603305,9683556.532436775,702273.6140833665
13,625925.9338206305,4681.82409388911,0.0,621244.1097267414,505656.51681603305,621244.1097267414,621244.1097267414,9117279.646480627,196617.09726733342
14,610263.1649610689,1310.7806484488895,0.0,608952.38431262,196617.09726733342,608952.38431262,1033579.3967720281,8548553.119003894,0.0
15,594980.8688532324,0.0,0.0,594980.8688532324,0.0,594980.8688532324,1628560.2656252603,7977814.581060448,0.0
16,580082.0719104363,0.0,0.0,580082.0719104363,0.0,580082.0719104363,2208642.3375356966,7405494.478726218,0.0
17,565569.7331958743,0.0,0.0,565569.7331958743,0.0,565569.7331958743,2774212.070731571,6832016.17339856,0.0
18,551446.7454106128,0.0,0.0,551446.7454106128,0.0,551446.7454106128,3325658.8161421837,6257796.040743285,0.0
19,545704.54408406,0.0,0.0,545704.54408406,0.0,545704.54408406,3871363.3602262437,5691232.176523414,0.0
20,540038.9054418614,0.0,0.0,540038.9054418614,0.0,540038.9054418614,4411402.265668105,5132222.497159809,0.0
21,534448.8086482253,0.0,0.0,534448.8086482253,0.0,534448.8086482253,4945851.07431633,4580666.280187718,0.0
22,528933.2464785044,0.0,0.0,528933.2464785044,0.0,528933.2464785044,5474784.320794835,4036464.146108587,0.0
23,523491.225137713,0.0,0.0,523491.225137713,0.0,523491.225137713,5998275.545932548,3499518.0404838454,0.0
24,518121.7640814656,0.0,0.0,518121.7640814656,0.0,518121.7640814656,6516397.310014014,2978152.890640572,0.0
25,475744.52922329237,0.0,0.0,475744.52922329237,0.0,475744.52922329237,6992141.839237306,2500902.8594882833,0.0
26,433808.44555202895,0.0,0.0,433808.44555202895,0.0,433808.44555202895,7425950.284789335,2067179.745444432,0.0
27,392307.6310518498,0.0,0.0,392307.6310518498,0.0,392307.6310518498,7818257.915841185,1676403.1896142391,0.0
28,351236.2821338073,0.0,0.0,351236.2821338073,0.0,351236.2821338073,8169494.197974992,1328000.571221523,0.0
29,310588.6725901397,0.0,0.0,310588.6725901397,0.0,310588.6725901397,8480082.870565131,1021406.9044337835,0.0
30,270359.1525625217,0.0,0.0,270359.1525625217,0.0,270359.1525625217,8750442.023127653,756064.7365629545,0.0
31,230542.14752407285,0.0,0.0,230542.14752407285,0.0,230542.14752407285,8980984.170651726,531424.0476234772,0.0
32,191132.15727493755,0.0,0.0,191132.15727493755,0.0,191132.15727493755,9172116.327926664,346942.1512296001,0.0
33,152123.75495125822,0.0,0.0,152123.75495125822,0.0,152123.75495125822,9324240.082877923,202083.59681404853,0.0
34,113511.58604736213,0.0,0.0,113511.58604736213,0.0,113511.58604736213,9437751.668925285,96320.07315044489,0.0
35,75290.36745098555,0.0,0.0,75290.36745098555,0.0,75290.36745098555,9513042.036376271,29130.313162096514,0.0
36,37454.88649136151,0.0,0.0,37454.88649136151,0.0,37454.88649136151,9550496.922867633,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0,9550496.922867633,0.0,0.0
