title_year,,duration,gross,budget,imdb_score,movie_facebook_likes,profit,profit_to_imdb_ratio
202.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
202.0,mean,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
202.0,min,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
202.0,25%,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
202.0,50%,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
202.0,75%,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
202.0,max,183.0,330249062.0,250000000.0,7.0,197000.0,80249062.0,11630299.0
205.0,count,1.0,1.0,1.0,1.0,1.0,1.0,1.0
205.0,mean,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
205.0,min,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
205.0,25%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
205.0,50%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
205.0,75%,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
205.0,max,137.0,1206135.0,50000000.0,6.0,18000.0,-48793865.0,-7624041.0
2010.0,count,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2010.0,mean,143.0,108805137.0,95714286.0,7.0,40571.0,13090851.0,1087046.0
2010.0,std,8.0,89966074.0,66296592.0,2.0,61975.0,68881169.0,8914996.0
2010.0,min,134.0,7501404.0,0.0,4.0,0.0,-94780265.0,-14146308.0
2010.0,25%,137.0,66524313.0,65000000.0,6.0,6500.0,-11098224.0,-1934050.0
2010.0,50%,140.0,95328937.0,80000000.0,7.0,17000.0,7501404.0,1027590.0
2010.0,75%,147.0,116594070.0,130000000.0,8.0,39500.0,34271208.0,4765750.0
2010.0,max,156.0,292568851.0,200000000.0,9.0,175000.0,132568851.0,15064642.0
2011.0,count,10.0,10.0,10.0,10.0,10.0,10.0,10.0
2011.0,mean,148.0,100983382.0,73201735.0,7.0,39303.0,27781647.0,3906382.0
2011.0,std,15.0,119134797.0,83726446.0,1.0,28015.0,65904733.0,9504035.0
2011.0,min,136.0,0.0,17350.0,3.0,0.0,-18696681.0,-2790549.0
2011.0,25%,139.0,13390405.0,25000000.0,7.0,19000.0,-10745285.0,-1371395.0
2011.0,50%,144.0,58594154.0,33500000.0,7.0,42500.0,1143800.0,171726.0
2011.0,75%,152.0,152908138.0,84000000.0,8.0,57000.0,13541468.0,1847330.0
2011.0,max,186.0,352358779.0,250000000.0,8.0,77000.0,157358779.0,24977584.0
2012.0,count,19.0,19.0,19.0,19.0,19.0,19.0,19.0
2012.0,mean,168.0,173506080.0,98631579.0,7.0,82286.0,74874501.0,9465269.0
2012.0,std,103.0,175540606.0,79410474.0,1.0,59133.0,122861274.0,15877847.0
2012.0,min,50.0,0.0,0.0,6.0,434.0,-74901420.0,-9986856.0
2012.0,25%,139.0,32803961.0,36000000.0,7.0,32000.0,-5917182.0,-883162.0
2012.0,50%,144.0,113165635.0,75000000.0,7.0,64000.0,55720716.0,7388782.0
2012.0,75%,161.0,282515946.0,152500000.0,8.0,132000.0,110782358.0,14474649.0
2012.0,max,580.0,623279547.0,250000000.0,8.0,199000.0,403279547.0,49787598.0
2013.0,count,17.0,17.0,17.0,17.0,17.0,17.0,17.0
2013.0,mean,183.0,133464426.0,95294118.0,7.0,66294.0,38170309.0,4828744.0
2013.0,std,123.0,136402316.0,78093305.0,1.0,40292.0,96552864.0,13339650.0
2013.0,min,134.0,0.0,3500000.0,5.0,0.0,-125710090.0,-19340014.0
2013.0,25%,138.0,16969390.0,35000000.0,7.0,41000.0,-8030610.0,-1515209.0
2013.0,50%,143.0,107100855.0,55000000.0,7.0,68000.0,16866727.0,2056918.0
2013.0,75%,153.0,150117807.0,130000000.0,8.0,86000.0,52100855.0,6595045.0
2013.0,max,650.0,424645577.0,225000000.0,8.0,138000.0,294645577.0,38769155.0
2014.0,count,23.0,23.0,23.0,23.0,23.0,23.0,23.0
2014.0,mean,141.0,106568272.0,87452174.0,7.0,58263.0,19116098.0,4045447.0
2014.0,std,32.0,88848567.0,77919147.0,2.0,72370.0,38182100.0,9883578.0
2014.0,min,5.0,0.0,0.0,1.0,0.0,-74992955.0,-12293927.0
2014.0,25%,137.0,36564812.0,26000000.0,6.0,17000.0,256970.0,37242.0
2014.0,50%,142.0,85707116.0,65000000.0,7.0,47000.0,7034272.0,1019460.0
2014.0,75%,152.0,177863418.0,152500000.0,8.0,68000.0,36562156.0,6473461.0
2014.0,max,170.0,259746958.0,250000000.0,9.0,349000.0,106735396.0,42169983.0
2015.0,count,9.0,9.0,9.0,9.0,9.0,9.0,9.0
2015.0,mean,152.0,221142709.0,133333333.0,8.0,102556.0,87809376.0,11684773.0
2015.0,std,16.0,128654457.0,85464905.0,1.0,47534.0,80952817.0,11099376.0
2015.0,min,137.0,54116191.0,28000000.0,7.0,38000.0,-44925825.0,-6606739.0
2015.0,25%,141.0,161029270.0,44000000.0,7.0,76000.0,32306065.0,4250798.0
2015.0,50%,148.0,200074175.0,135000000.0,8.0,94000.0,120430993.0,14868024.0
2015.0,75%,156.0,281666058.0,190000000.0,8.0,118000.0,133029270.0,18434251.0
2015.0,max,187.0,458991599.0,250000000.0,8.0,190000.0,208991599.0,27865547.0
2016.0,count,6.0,6.0,6.0,6.0,6.0,6.0,6.0
2016.0,mean,143.0,105899126.0,121333333.0,7.0,30000.0,-15434208.0,-3513406.0
2016.0,std,3.0,158586389.0,78553591.0,1.0,30777.0,94547452.0,13187715.0
2016.0,min,139.0,0.0,50000000.0,6.0,0.0,-100000000.0,-16666667.0
2016.0,25%,141.0,5097492.0,62500000.0,6.0,2500.0,-82402508.0,-13399934.0
2016.0,50%,142.0,36606192.0,100000000.0,7.0,27000.0,-26312473.0,-3786068.0
2016.0,75%,144.0,129444420.0,158500000.0,7.0,51500.0,-3636915.0,-502126.0
2016.0,max,147.0,407197282.0,250000000.0,8.0,72000.0,157197282.0,19170400.0
